
001-(47): D_cost: -7.695  Wasserstein_D: 8.955  G_cost: -0.236  
001-(48): D_cost: -7.665  Wasserstein_D: 8.852  G_cost: -0.911  
001-(49): D_cost: -7.896  Wasserstein_D: 9.276  G_cost: 1.272  
001-(50): D_cost: -7.470  Wasserstein_D: 8.489  G_cost: -1.415  
001-(51): D_cost: -7.164  Wasserstein_D: 8.303  G_cost: -0.357  
001-(52): D_cost: -7.368  Wasserstein_D: 8.564  G_cost: -0.574  
001-(53): D_cost: -7.373  Wasserstein_D: 8.561  G_cost: -0.297  
001-(54): D_cost: -7.444  Wasserstein_D: 8.561  G_cost: -0.516  
001-(55): D_cost: -7.422  Wasserstein_D: 8.469  G_cost: -0.243  
001-(56): D_cost: -7.152  Wasserstein_D: 8.295  G_cost: -0.121  
001-(57): D_cost: -7.097  Wasserstein_D: 8.212  G_cost: -1.520  
001-(58): D_cost: -7.351  Wasserstein_D: 8.658  G_cost: 1.291  
001-(59): D_cost: -7.042  Wasserstein_D: 8.034  G_cost: -2.099  
001-(60): D_cost: -6.959  Wasserstein_D: 8.044  G_cost: -1.231  
001-(61): D_cost: -6.934  Wasserstein_D: 7.984  G_cost: -0.169  
001-(62): D_cost: -6.970  Wasserstein_D: 7.910  G_cost: -2.367  
001-(63): D_cost: -6.750  Wasserstein_D: 7.819  G_cost: 0.133  
001-(64): D_cost: -6.742  Wasserstein_D: 7.800  G_cost: -1.331  
001-(65): D_cost: -6.723  Wasserstein_D: 7.794  G_cost: -0.653  
001-(66): D_cost: -6.673  Wasserstein_D: 7.596  G_cost: -1.279  
001-(67): D_cost: -6.836  Wasserstein_D: 7.868  G_cost: -0.858  
001-(68): D_cost: -6.604  Wasserstein_D: 7.480  G_cost: -1.571  
001-(69): D_cost: -6.560  Wasserstein_D: 7.542  G_cost: -0.862  
001-(70): D_cost: -6.505  Wasserstein_D: 7.521  G_cost: -1.352  
001-(71): D_cost: -6.518  Wasserstein_D: 7.429  G_cost: -1.288  
001-(72): D_cost: -6.477  Wasserstein_D: 7.413  G_cost: -2.093  
001-(73): D_cost: -6.551  Wasserstein_D: 7.662  G_cost: -0.147  
001-(74): D_cost: -6.746  Wasserstein_D: 7.816  G_cost: -3.281  
001-(75): D_cost: -6.440  Wasserstein_D: 7.329  G_cost: -1.560  
001-(76): D_cost: -6.469  Wasserstein_D: 7.416  G_cost: 1.056  
001-(77): D_cost: -6.522  Wasserstein_D: 7.529  G_cost: -2.101  
001-(78): D_cost: -6.539  Wasserstein_D: 7.515  G_cost: -1.742  
001-(79): D_cost: -6.102  Wasserstein_D: 6.944  G_cost: -0.971  
001-(80): D_cost: -6.568  Wasserstein_D: 7.438  G_cost: -0.395  
001-(81): D_cost: -6.360  Wasserstein_D: 7.186  G_cost: -1.610  
001-(82): D_cost: -6.101  Wasserstein_D: 6.975  G_cost: -1.668  
001-(83): D_cost: -6.406  Wasserstein_D: 7.350  G_cost: -0.574  
001-(84): D_cost: -6.269  Wasserstein_D: 7.121  G_cost: -1.861  
001-(85): D_cost: -5.907  Wasserstein_D: 6.756  G_cost: -1.081  
001-(86): D_cost: -6.452  Wasserstein_D: 7.293  G_cost: -1.839  
001-(87): D_cost: -6.572  Wasserstein_D: 7.488  G_cost: -2.568  
001-(88): D_cost: -6.051  Wasserstein_D: 6.865  G_cost: -0.488  
001-(89): D_cost: -6.225  Wasserstein_D: 7.040  G_cost: -1.628  
001-(90): D_cost: -6.375  Wasserstein_D: 7.230  G_cost: -0.654  
001-(91): D_cost: -5.996  Wasserstein_D: 6.818  G_cost: -1.962  
001-(92): D_cost: -6.115  Wasserstein_D: 7.033  G_cost: -0.853  
001-(93): D_cost: -6.304  Wasserstein_D: 7.135  G_cost: -1.926  
001-(94): D_cost: -6.040  Wasserstein_D: 6.857  G_cost: -2.084  
001-(95): D_cost: -5.866  Wasserstein_D: 6.621  G_cost: -0.313  
001-(96): D_cost: -6.131  Wasserstein_D: 6.977  G_cost: -1.394  
001-(97): D_cost: -6.111  Wasserstein_D: 6.948  G_cost: -1.927  
001-(98): D_cost: -5.825  Wasserstein_D: 6.612  G_cost: -1.732  
001-(99): D_cost: -6.101  Wasserstein_D: 6.940  G_cost: -1.300  
001-(100): D_cost: -5.973  Wasserstein_D: 6.819  G_cost: -2.168  
001-(101): D_cost: -5.813  Wasserstein_D: 6.591  G_cost: -1.586  
001-(102): D_cost: -5.977  Wasserstein_D: 6.783  G_cost: -1.096  
001-(103): D_cost: -5.920  Wasserstein_D: 6.712  G_cost: -2.456  
001-(104): D_cost: -5.869  Wasserstein_D: 6.747  G_cost: -0.564  
001-(105): D_cost: -5.955  Wasserstein_D: 6.798  G_cost: -2.282  
001-(106): D_cost: -5.917  Wasserstein_D: 6.674  G_cost: -2.311  
001-(107): D_cost: -5.765  Wasserstein_D: 6.509  G_cost: -0.119  
001-(108): D_cost: -5.824  Wasserstein_D: 6.633  G_cost: -1.856  
001-(109): D_cost: -5.951  Wasserstein_D: 6.828  G_cost: -1.826  
001-(110): D_cost: -5.784  Wasserstein_D: 6.588  G_cost: -1.459  
001-(111): D_cost: -5.855  Wasserstein_D: 6.642  G_cost: -1.729  
001-(112): D_cost: -5.868  Wasserstein_D: 6.765  G_cost: -1.695  
001-(113): D_cost: -5.763  Wasserstein_D: 6.499  G_cost: -1.783  
001-(114): D_cost: -5.838  Wasserstein_D: 6.632  G_cost: -0.867  
001-(115): D_cost: -5.930  Wasserstein_D: 6.667  G_cost: -2.211  
001-(116): D_cost: -5.686  Wasserstein_D: 6.508  G_cost: -1.406  
002-(0): D_cost: -5.774  Wasserstein_D: 6.500  G_cost: -1.784  
002-(1): D_cost: -5.849  Wasserstein_D: 6.633  G_cost: -1.158  
002-(2): D_cost: -5.611  Wasserstein_D: 6.334  G_cost: -1.698  
002-(3): D_cost: -5.828  Wasserstein_D: 6.571  G_cost: -1.477  
002-(4): D_cost: -5.733  Wasserstein_D: 6.431  G_cost: -1.486  
002-(5): D_cost: -5.792  Wasserstein_D: 6.600  G_cost: -1.491  
002-(6): D_cost: -5.782  Wasserstein_D: 6.596  G_cost: -1.643  
002-(7): D_cost: -5.682  Wasserstein_D: 6.478  G_cost: -0.857  
002-(8): D_cost: -5.929  Wasserstein_D: 6.694  G_cost: -2.098  
002-(9): D_cost: -5.763  Wasserstein_D: 6.546  G_cost: -1.727  
002-(10): D_cost: -5.927  Wasserstein_D: 6.803  G_cost: -1.383  
